service_id,date,exception_type
ASP22GEN-1037-Sunday-00_C21,20220717,2
ASP22GEN-1037-Sunday-00_C21,20220905,1
ASP22GEN-1037-Sunday-00_C21,20221124,1
ASP22GEN-1038-Saturday-00_C50,20220704,1
ASP22GEN-1038-Saturday-00_C50,20220716,2
ASP22GEN-1091-Weekday-00_C9,20220704,2
ASP22GEN-1091-Weekday-00_C9,20220715,2
ASP22GEN-1091-Weekday-00_C9,20220905,2
ASP22GEN-1091-Weekday-00_C9,20221124,2
ASP22GEN-2042-Saturday-00_C66,20220704,1
ASP22GEN-2042-Saturday-00_C66,20220716,2
ASP22GEN-2048-Sunday-00_C58,20220717,2
ASP22GEN-2048-Sunday-00_C58,20220905,1
ASP22GEN-2048-Sunday-00_C58,20221124,1
ASP22GEN-2099-Weekday-00_C10,20220704,2
ASP22GEN-2099-Weekday-00_C10,20220715,2
ASP22GEN-2099-Weekday-00_C10,20220718,2
ASP22GEN-2099-Weekday-00_C10,20220905,2
ASP22GEN-2099-Weekday-00_C10,20221124,2
ASP22GEN-2099-Weekday-00_C11,20220704,2
ASP22GEN-2099-Weekday-00_C11,20220715,2
ASP22GEN-2099-Weekday-00_C11,20220905,2
ASP22GEN-2099-Weekday-00_C11,20221124,2
ASP22GEN-3039-Saturday-00_C61,20220704,1
ASP22GEN-3039-Saturday-00_C61,20220716,2
ASP22GEN-3041-Sunday-00_C31,20220717,2
ASP22GEN-3041-Sunday-00_C31,20220905,1
ASP22GEN-3041-Sunday-00_C31,20221124,1
ASP22GEN-3091-Weekday-00_C54,20220704,2
ASP22GEN-3091-Weekday-00_C54,20220715,2
ASP22GEN-3091-Weekday-00_C54,20220905,2
ASP22GEN-3091-Weekday-00_C54,20221124,2
ASP22GEN-3091-Weekday-00_C55,20220704,2
ASP22GEN-3091-Weekday-00_C55,20220715,2
ASP22GEN-3091-Weekday-00_C55,20220718,2
ASP22GEN-3091-Weekday-00_C55,20220905,2
ASP22GEN-3091-Weekday-00_C55,20221124,2
ASP22GEN-4043-Saturday-00_C53,20220704,1
ASP22GEN-4043-Saturday-00_C53,20220716,2
ASP22GEN-4049-Sunday-00_C46,20220717,2
ASP22GEN-4049-Sunday-00_C46,20220905,1
ASP22GEN-4049-Sunday-00_C46,20221124,1
ASP22GEN-4101-Weekday-00_C18,20220704,2
ASP22GEN-4101-Weekday-00_C18,20220715,2
ASP22GEN-4101-Weekday-00_C18,20220718,2
ASP22GEN-4101-Weekday-00_C18,20220719,2
ASP22GEN-4101-Weekday-00_C18,20220720,2
ASP22GEN-4101-Weekday-00_C18,20220721,2
ASP22GEN-4101-Weekday-00_C18,20220722,2
ASP22GEN-4101-Weekday-00_C18,20220905,2
ASP22GEN-4101-Weekday-00_C18,20221124,2
ASP22GEN-5043-Saturday-00_C51,20220704,1
ASP22GEN-5043-Saturday-00_C51,20220716,2
ASP22GEN-5048-Sunday-00_C28,20220717,2
ASP22GEN-5048-Sunday-00_C28,20220905,1
ASP22GEN-5048-Sunday-00_C28,20221124,1
ASP22GEN-5111-Weekday-00_C64,20220704,2
ASP22GEN-5111-Weekday-00_C64,20220715,2
ASP22GEN-5111-Weekday-00_C64,20220718,2
ASP22GEN-5111-Weekday-00_C64,20220719,2
ASP22GEN-5111-Weekday-00_C64,20220720,2
ASP22GEN-5111-Weekday-00_C64,20220721,2
ASP22GEN-5111-Weekday-00_C64,20220722,2
ASP22GEN-5111-Weekday-00_C64,20220905,2
ASP22GEN-5111-Weekday-00_C64,20221124,2
ASP22GEN-6030-Sunday-00_C69,20220717,2
ASP22GEN-6030-Sunday-00_C69,20220905,1
ASP22GEN-6030-Sunday-00_C69,20221124,1
ASP22GEN-6033-Saturday-00_C40,20220704,1
ASP22GEN-6033-Saturday-00_C40,20220716,2
ASP22GEN-6089-Weekday-00_C67,20220704,2
ASP22GEN-6089-Weekday-00_C67,20220715,2
ASP22GEN-6089-Weekday-00_C67,20220718,2
ASP22GEN-6089-Weekday-00_C67,20220905,2
ASP22GEN-6089-Weekday-00_C67,20221124,2
ASP22GEN-6089-Weekday-00_C68,20220704,2
ASP22GEN-6089-Weekday-00_C68,20220715,2
ASP22GEN-6089-Weekday-00_C68,20220905,2
ASP22GEN-6089-Weekday-00_C68,20221124,2
ASP22GEN-7023-Saturday-00_C38,20220704,1
ASP22GEN-7023-Saturday-00_C38,20220716,2
ASP22GEN-7023-Saturday-00_C38,20220723,2
ASP22GEN-7025-Sunday-00_C14,20220717,2
ASP22GEN-7025-Sunday-00_C14,20220905,1
ASP22GEN-7025-Sunday-00_C14,20221124,1
ASP22GEN-7062-Weekday-00,20220704,2
ASP22GEN-7062-Weekday-00,20220905,2
ASP22GEN-7062-Weekday-00,20221124,2
ASP22GEN-7062-Weekday-00_C27,20220704,2
ASP22GEN-7062-Weekday-00_C27,20220715,2
ASP22GEN-7062-Weekday-00_C27,20220718,2
ASP22GEN-7062-Weekday-00_C27,20220719,2
ASP22GEN-7062-Weekday-00_C27,20220720,2
ASP22GEN-7062-Weekday-00_C27,20220721,2
ASP22GEN-7062-Weekday-00_C27,20220722,2
ASP22GEN-7062-Weekday-00_C27,20220905,2
ASP22GEN-7062-Weekday-00_C27,20221124,2
ASP22GEN-GS013-Saturday-00,20220704,1
ASP22GEN-GS013-Sunday-00,20220905,1
