route_id,stop_id,opposite_destinations
1,101,142
1,142,101
2,201,247
2,247,201
3,301,257
3,257,301
4,401,250
4,250,401
4,257,401
5,501,247
5,204,247
5,247,501
5,420,501
5,257,501
5,250,501
6,601,640
6,640,601
7,701,726
7,726,701
A,A02,H11
A,H11,A02
A,A65,A02
A,H15,A02
B,D03,D40
B,A12,D40
B,A12,D40
B,D13,D40
B,D40,A12
C,A09,A55
C,A55,A09
D,D01,D43
D,D43,D01
E,G05,E01
E,E01,G05
F,F01,D43
F,D43,F01
G,G22,F27
G,F27,G22
GS,902,901
GS,901,902
H,H15,H19
H,H19,H15
J,G05,M23
J,M23,G05
J,J12,M23
J,J27,G05
L,L01,L29
L,L29,L01
M,G08,M18
M,M18,G08
M,M01,M18
M,M18,M01
N,R01,D43
N,D43,R01
Q,Q05,D43
Q,D43,Q05
R,G08,R45
R,R45,G08
SI,S30,S09
SI,S09,S30
SS,S30,S09
SS,S09,S30
W,R01,R27
W,R27,R01
